table_name,column_name
fl_losses,LossCode
fl_losses,FishCode
fl_losses,Speccode
fl_losses,Stockcode
fl_losses,DataSourceCode
fl_losses,LocationCode
fl_losses,EstimateCode
fl_losses,LossStage
fl_losses,PeriodofStudy
fl_losses,PreviousProcess
fl_losses,PreviousTreatment
fl_losses,FishSizeMin
fl_losses,FishSizeMax
fl_losses,EndUseBestQuality
fl_losses,EndUseLowerQuality
fl_losses,ReasonForLoss
fl_losses,InsectType
fl_losses,BatchWeight
fl_losses,WeightOfPhysicalLoss
fl_losses,PhysicalLossMin
fl_losses,PhysicalLossMax
fl_losses,WeightLosingQuality
fl_losses,PWeightLosingQualityMin
fl_losses,PWeightLosingQualityMax
fl_losses,PFishAffectedByNumberMin
fl_losses,PFishAffectedByNumberMax
fl_losses,Costs
fl_losses,Others
fl_losses,Editable
fl_losses,TS
