"table_name","column_name","type","size","description"
"morphology","autoctr","Long Integer",4,NA
"morphology","Speccode","Long Integer",4,NA
"morphology","StockCode","Long Integer",4,NA
"morphology","MorphDatRefNo","Long Integer",4,NA
"morphology","Females","Yes/No",1,NA
"morphology","Males","Yes/No",1,NA
"morphology","AppearancePic","Text",8,NA
"morphology","SexualAttributes","Text",32,NA
"morphology","SexMorphology","Text",49,NA
"morphology","SexColors","Text",55,NA
"morphology","StrikingFeatures","Text",22,NA
"morphology","BodyShapeI","Text",20,"Shape of body in lateral view"
"morphology","BodyShapeII","Text",19,"Approximate shape of cross-section of body at maximum width"
"morphology","Forehead","Text",21,"Shape of forehead in lateral view"
"morphology","OperculumPresent","Yes/No",1,"Does the species have an ossified gill cover?"
"morphology","TypeofEyes","Text",48,NA
"morphology","TypeofMouth","Text",27,NA
"morphology","PosofMouth","Text",21,NA
"morphology","MandibleTeeth","Text",7,"Are there teeth present on the lower jaw?"
"morphology","MandibleTeethT1","Text",14,"Most frequent type of teeth found on lower jaw"
"morphology","MandibleTeethT2","Text",14,"Second frequent type of teeth found on lower jaw"
"morphology","MandibleRowsMin","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","MandibleRowsMax","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","MaxillaTeeth","Text",7,"Are there teeth present on the upper jaw?"
"morphology","MaxillaTeethT1","Text",14,"Most frequent type of teeth found on upper jaw"
"morphology","MaxillaTeethT2","Text",14,"Second frequent type of teeth found on upper jaw"
"morphology","MaxillaRowsMin","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","MaxillaRowsMax","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","VomerineTeeth","Text",7,NA
"morphology","VomerineTeethT1","Text",14,"Most frequent type of teeth found on vomer"
"morphology","VomerineTeethT2","Text",14,"Second frequent type of teeth found on vomer"
"morphology","VomerineRowsMin","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","VomerineRowsMax","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","Palatine","Text",7,NA
"morphology","PalatineTeethT1","Text",14,"Most frequent type of teeth found on palate"
"morphology","PalatineTeethT2","Text",14,"Second frequent type of teeth found on palate"
"morphology","PalatineRowsMin","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","PalatineRowsMax","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","PharyngealTeeth","Text",7,NA
"morphology","PharyngealTeethT1","Text",14,"Most frequent type of teeth found on pharynx"
"morphology","PharyngealTeethT2","Text",14,"Second frequent type of teeth found on pharynx"
"morphology","PharyngealRowsMin","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","PharyngealRowsMax","Integer",2,"Typical number of rows of teeth on this part of the mouth"
"morphology","TeethonTongue","Text",7,NA
"morphology","Lipsteeth","Text",7,NA
"morphology","DermalTeeth","Text",7,NA
"morphology","CommentonTeeth","Text",255,"Additional remarks on teeth"
"morphology","TypeofScales","Text",45,NA
"morphology","Scutes","Text",18,NA
"morphology","Keels","Integer",2,NA
"morphology","HorStripesTTI","Text",7,NA
"morphology","HorStripesTTII","Text",18,NA
"morphology","VerStripesTTI","Text",7,NA
"morphology","VerStripesTTII","Text",18,NA
"morphology","VerStripesTTIII","Text",29,NA
"morphology","DiaStripesTTI","Text",7,NA
"morphology","DiaStripesTTII","Text",18,NA
"morphology","DiaStripesTTIII","Text",29,NA
