table,description,links
heartbeat,API endpoint to confirm that the API is up. Lists all available endpoints,
mysqlping,API endpoint to test the status of the database,
comnames,Table of common names,
countref,"The COUNTREF table holds country-specific information such as the official names in English, French and Spanish, the UN statistical name and code number, name and coordinates of the capital city, FAO areas, aquaculture production, shelf area, languages, international bodies and legal instruments, etc.",http://www.fishbase.org/manual/english/fishbasethe_countref_table.htm
country,"Country governments are the political bodies that deal with fisheries management, research and conservation at the national level. It is therefore important to know all the countries where a species occurs, and vice-versa. As mentioned above, the distributional range of many species is not well established. Country-specific checklists of fishes prepared by non-taxonomists often contain misidentifications and generally cannot be verified; on the other hand, complete checklists published by taxonomists and based on verifiable specimen collections do not exist for many countries.",http://www.fishbase.org/manual/english/fishbasethe_countries_table.htm
diet,"Knowledge of the diet composition of a fish species at a specific locality is useful in assessing its ecological function and impact, for the construction of ecosystem models (see Box 21), and to help define the nutritional requirements of potential aquaculture species. In FishBase, data in the DIET table are also used to estimate the trophic level of species",http://www.fishbase.org/manual/english/fishbasethe_diet_table.htm
ecology,"The head section of this table, defining habitats, is straightforward, and consists mainly of yes/no choice fields indicating the environmental preferences of a species. The categorical breakdown of possible habitats summarizes the otherwise lengthy text descriptions for species found in different types of environment, and makes such descriptive data accessible to rigorous queries. ",http://www.fishbase.org/manual/english/fishbasethe_ecology_table.htm
ecosystem,,
estimate,"no description",
faoareas,"The FAOAREAS table lists all the FAO statistical areas in which a species occurs, and vice-versa. A choice field classifies such occurrence into: native; endemic (i.e., naturally occurring in no other FAO area); introduced; extirpated (i.e., extinct in this area but still existing in other FAO areas); reintroduced (i.e., after extirpation); unclear. Note that strains and artificial hybrids are always classified as introduced, even if the strain originates from the FAO area in question, because hybrids and strains are by definition genetically distinct from wild populations. ",http://www.fishbase.org/manual/english/fishbasethe_faoareas_table.htm
faoarref,"The FAOAREAS REF table contains the names of the 27 statistical areas as defined by FAO, together with some notes on these, based on data from the World Resources Institute (WRI 1990, 1996). These include the length of the Coastline, the estimated Shelf area to 200 m depth, and the area of the exclusive economic zone (EEZ) [not presently shown in user version]. Note, however, that coastline length has a fractal dimension and thus should not be used in comparative studies unless measured with the same 'stick length'. WRI is working on such standardized coastline lengths, and we will use these as soon as they become available. ",http://www.fishbase.org/manual/english/fishbasethe_faoareas_ref_table.htm
fecundity,,
fooditems,"The FOOD ITEMS table highlights from a set list, the food items reported to be consumed by a particular fish species. Clicking on any of the highlighted food items (under the Food II field) leads, via a list, to the FOOD ITEM DETAILS, with information on the Food group, Food name, Stage/part, Commonness of the food item, Country where the sample was obtained and a Remarks field. ",http://www.fishbase.org/manual/english/fishbasethe_food_items_table.htm
genera,"Table of species genera, by species code.  This information is all available in the taxa endpoint as well.",
intrcase,Table of species introductions,http://www.fishbase.org/manual/english/fishbasethe_Introduction_table.htm
listfields,Search for which tables contain a given field (column),www.fishbase.org/manual/english/fishbasethe_maturity_table.htm
maturity,Sexual maturity data,http://www.fishbase.org/manual/english/fishbasethe_maturity_table.htm
